pays;source_officielle;annee_reference;sexe;age;esperance_vie_restante;date_publication_source;actif;;;;
LU;STATEC;2015;M;6;14.70;01.01.2024;True;;;;
LU;STATEC;2015;F;2;64.90;01.01.2024;True;;;;
LU;STATEC;2016;F;4;35.25;01.01.2024;True;;;;
LU;STATEC;2016;M;1;79.92;01.01.2024;True;;;;
LU;STATEC;2016;F;6;17.42;01.01.2024;True;;;;
LU;STATEC;2016;M;2;60.32;01.01.2024;True;;;;
LU;STATEC;2016;M;3;40.79;01.01.2024;True;;;;
LU;STATEC;2016;F;3;44.81;01.01.2024;True;;;;
LU;STATEC;2016;F;5;25.95;01.01.2024;True;;;;
LU;STATEC;2016;F;1;84.38;01.01.2024;True;;;;
LU;STATEC;2016;M;4;31.35;01.01.2024;True;;;;
LU;STATEC;2016;M;5;22.53;01.01.2024;True;;;;
LU;STATEC;2016;M;6;14.82;01.01.2024;True;;;;
LU;STATEC;2016;F;2;64.59;01.01.2024;True;;;;
LU;STATEC;2017;F;4;35.40;01.01.2024;True;;;;
LU;STATEC;2017;M;1;79.95;01.01.2024;True;;;;
LU;STATEC;2017;F;6;17.56;01.01.2024;True;;;;
LU;STATEC;2017;M;2;60.29;01.01.2024;True;;;;
LU;STATEC;2017;M;3;40.77;01.01.2024;True;;;;
LU;STATEC;2017;F;3;45.01;01.01.2024;True;;;;
LU;STATEC;2017;F;5;26.14;01.01.2024;True;;;;
LU;STATEC;2017;F;1;84.49;01.01.2024;True;;;;
LU;STATEC;2017;M;4;31.33;01.01.2024;True;;;;
LU;STATEC;2017;M;5;22.50;01.01.2024;True;;;;
LU;STATEC;2017;M;6;14.82;01.01.2024;True;;;;
LU;STATEC;2017;F;2;64.72;01.01.2024;True;;;;
LU;STATEC;2018;F;4;35.30;01.01.2024;True;;;;
LU;STATEC;2018;M;1;80.01;01.01.2024;True;;;;
LU;STATEC;2018;F;6;17.56;01.01.2024;True;;;;
LU;STATEC;2018;M;2;60.39;01.01.2024;True;;;;
LU;STATEC;2018;M;3;40.95;01.01.2024;True;;;;
LU;STATEC;2018;F;3;44.95;01.01.2024;True;;;;
LU;STATEC;2018;F;1;84.47;01.01.2024;True;;;;
LU;STATEC;2018;M;4;31.48;01.01.2024;True;;;;
LU;STATEC;2018;M;5;22.58;01.01.2024;True;;;;
LU;STATEC;2018;M;6;14.92;01.01.2024;True;;;;
LU;STATEC;2018;F;2;64.68;01.01.2024;True;;;;
LU;STATEC;2019;F;4;35.40;01.01.2024;True;;;;
LU;STATEC;2019;M;1;80.10;01.01.2024;True;;;;
LU;STATEC;2019;F;6;17.60;01.01.2024;True;;;;
LU;STATEC;2019;M;2;60.40;01.01.2024;True;;;;
LU;STATEC;2019;M;3;41.00;01.01.2024;True;;;;
LU;STATEC;2019;F;3;45.10;01.01.2024;True;;;;
LU;STATEC;2019;F;5;26.20;01.01.2024;True;;;;
LU;STATEC;2019;F;1;84.60;01.01.2024;True;;;;
LU;STATEC;2019;M;4;31.40;01.01.2024;True;;;;
LU;STATEC;2019;M;5;22.60;01.01.2024;True;;;;
LU;STATEC;2019;M;6;14.80;01.01.2024;True;;;;
LU;STATEC;2019;F;2;64.90;01.01.2024;True;;;;
LU;STATEC;2020;F;4;35.70;01.01.2024;True;;;;
LU;STATEC;2020;M;1;80.30;01.01.2024;True;;;;
LU;STATEC;2020;F;6;18.80;01.01.2024;True;;;;
LU;STATEC;2020;M;2;60.60;01.01.2024;True;;;;
LU;STATEC;2020;M;3;41.10;01.01.2024;True;;;;
LU;STATEC;2020;F;3;45.30;01.01.2024;True;;;;
LU;STATEC;2020;F;5;26.40;01.01.2024;True;;;;
LU;STATEC;2020;F;1;84.80;01.01.2024;True;;;;
LU;STATEC;2020;M;4;31.60;01.01.2024;True;;;;
LU;STATEC;2020;M;5;22.80;01.01.2024;True;;;;
LU;STATEC;2020;M;6;15.00;01.01.2024;True;;;;
LU;STATEC;2020;F;2;65.10;01.01.2024;True;;;;
LU;STATEC;2021;F;4;35.67;01.01.2024;True;;;;
LU;STATEC;2021;M;1;80.49;01.01.2024;True;;;;
LU;STATEC;2021;F;6;17.72;01.01.2024;True;;;;
LU;STATEC;2021;M;2;60.82;01.01.2024;True;;;;
LU;STATEC;2021;M;3;41.26;01.01.2024;True;;;;
LU;STATEC;2021;F;3;45.35;01.01.2024;True;;;;
LU;STATEC;2021;F;5;26.34;01.01.2024;True;;;;
LU;STATEC;2021;F;1;84.83;01.01.2024;True;;;;
LU;STATEC;2021;M;4;31.74;01.01.2024;True;;;;
LU;STATEC;2021;M;5;22.88;01.01.2024;True;;;;
LU;STATEC;2021;F;2;65.09;01.01.2024;True;;;;
LU;STATEC;2022;F;4;35.85;01.01.2024;True;;;;
LU;STATEC;2022;M;1;80.98;01.01.2024;True;;;;
LU;STATEC;2022;F;6;17.88;01.01.2024;True;;;;
LU;STATEC;2022;M;2;61.31;01.01.2024;True;;;;
LU;STATEC;2022;M;3;41.75;01.01.2024;True;;;;
LU;STATEC;2022;F;3;45.53;01.01.2024;True;;;;
LU;STATEC;2022;F;5;26.52;01.01.2024;True;;;;
LU;STATEC;2022;F;1;84.98;01.01.2024;True;;;;
LU;STATEC;2022;M;4;32.22;01.01.2024;True;;;;
LU;STATEC;2022;M;5;23.31;01.01.2024;True;;;;
LU;STATEC;2022;M;6;15.39;01.01.2024;True;;;;
LU;STATEC;2022;F;2;65.30;01.01.2024;True;;;;
LU;STATEC;2023;F;4;36.07;01.01.2024;True;;;;
LU;STATEC;2023;M;1;81.20;01.01.2024;True;;;;
LU;STATEC;2023;M;2;61.62;01.01.2024;True;;;;
LU;STATEC;2023;M;3;42.07;01.01.2024;True;;;;
LU;STATEC;2023;F;3;45.73;01.01.2024;True;;;;
LU;STATEC;2023;F;5;26.70;01.01.2024;True;;;;
LU;STATEC;2023;F;1;85.26;01.01.2024;True;;;;
LU;STATEC;2023;M;4;32.52;01.01.2024;True;;;;
LU;STATEC;2023;M;5;23.56;01.01.2024;True;;;;
LU;STATEC;2023;M;6;15.61;01.01.2024;True;;;;
LU;STATEC;2023;F;2;65.51;01.01.2024;True;;;;
