pays;source_officielle;annee_reference;sexe;age;esperance_vie_restante;date_publication_source;actif;âge actuel
LU;STATEC;1921;M;1;57.80;01.01.2024;True;
LU;STATEC;1921;M;2;44.10;01.01.2024;True;
LU;STATEC;1921;M;3;26.40;01.01.2024;True;
LU;STATEC;1921;M;4;18.30;01.01.2024;True;
LU;STATEC;1922;F;1;62.05;01.01.2024;True;
LU;STATEC;1922;F;2;47.75;01.01.2024;True;
LU;STATEC;1922;F;3;29.65;01.01.2024;True;
LU;STATEC;1922;F;4;20.95;01.01.2024;True;
LU;STATEC;1922;F;5;13.15;01.01.2024;True;
LU;STATEC;1922;F;6;80.05;01.01.2024;True;
LU;STATEC;1922;M;1;57.95;01.01.2024;True;
LU;STATEC;1922;M;2;44.25;01.01.2024;True;
LU;STATEC;1922;M;3;26.55;01.01.2024;True;
LU;STATEC;1922;M;4;18.45;01.01.2024;True;
LU;STATEC;1923;F;1;62.20;01.01.2024;True;
LU;STATEC;1923;F;2;47.90;01.01.2024;True;
LU;STATEC;1923;F;3;29.80;01.01.2024;True;
LU;STATEC;1923;F;4;21. Okt;01.01.2024;True;
LU;STATEC;1923;F;5;13.30;01.01.2024;True;
LU;STATEC;1923;F;6;80.20;01.01.2024;True;
LU;STATEC;1923;M;1;58.10;01.01.2024;True;
LU;STATEC;1923;M;2;44.40;01.01.2024;True;
LU;STATEC;1923;M;3;26.70;01.01.2024;True;
LU;STATEC;1923;M;4;18.60;01.01.2024;True;
LU;STATEC;1924;F;1;62.35;01.01.2024;True;
LU;STATEC;1924;F;2;48.05;01.01.2024;True;
LU;STATEC;1924;F;3;29.95;01.01.2024;True;
LU;STATEC;1924;F;4;21.25;01.01.2024;True;
LU;STATEC;1924;F;5;13.45;01.01.2024;True;
LU;STATEC;1924;F;6;80.35;01.01.2024;True;
LU;STATEC;1924;M;1;58.25;01.01.2024;True;
LU;STATEC;1924;M;2;44.55;01.01.2024;True;
LU;STATEC;1924;M;3;26.85;01.01.2024;True;
LU;STATEC;1924;M;4;18.75;01.01.2024;True;
LU;STATEC;1925;F;1;62.50;01.01.2024;True;
LU;STATEC;1925;F;2;48.20;01.01.2024;True;
LU;STATEC;1925;F;3;30. Okt;01.01.2024;True;
LU;STATEC;1925;F;4;21.40;01.01.2024;True;
LU;STATEC;1925;F;5;13.60;01.01.2024;True;
LU;STATEC;1925;F;6;80.50;01.01.2024;True;
LU;STATEC;1925;M;1;58.40;01.01.2024;True;
LU;STATEC;1925;M;2;44.70;01.01.2024;True;
LU;STATEC;1925;M;3;27.00;01.01.2024;True;
LU;STATEC;1925;M;4;18.90;01.01.2024;True;
LU;STATEC;1926;F;1;62.65;01.01.2024;True;
LU;STATEC;1926;F;2;48.35;01.01.2024;True;
LU;STATEC;1926;F;3;30.25;01.01.2024;True;
LU;STATEC;1926;F;4;21.55;01.01.2024;True;
LU;STATEC;1926;F;5;13.75;01.01.2024;True;
LU;STATEC;1926;F;6;80.65;01.01.2024;True;
LU;STATEC;1926;M;1;58.55;01.01.2024;True;
LU;STATEC;1926;M;2;44.85;01.01.2024;True;
LU;STATEC;1926;M;3;27.15;01.01.2024;True;
LU;STATEC;1926;M;4;19. Mai;01.01.2024;True;
LU;STATEC;1927;F;1;62.80;01.01.2024;True;
LU;STATEC;1927;F;2;48.50;01.01.2024;True;
LU;STATEC;1927;F;3;30.40;01.01.2024;True;
LU;STATEC;1927;F;4;21.70;01.01.2024;True;
LU;STATEC;1927;F;5;13.90;01.01.2024;True;
LU;STATEC;1927;F;6;80.80;01.01.2024;True;
LU;STATEC;1927;M;1;58.70;01.01.2024;True;
LU;STATEC;1927;M;2;45.00;01.01.2024;True;
LU;STATEC;1927;M;3;27.30;01.01.2024;True;
LU;STATEC;1927;M;4;19.20;01.01.2024;True;
LU;STATEC;1928;F;1;62.95;01.01.2024;True;
LU;STATEC;1928;F;2;48.65;01.01.2024;True;
LU;STATEC;1928;F;3;30.55;01.01.2024;True;
LU;STATEC;1928;F;4;21.85;01.01.2024;True;
LU;STATEC;1928;F;5;14. Mai;01.01.2024;True;
LU;STATEC;1928;F;6;80.95;01.01.2024;True;
LU;STATEC;1928;M;1;58.85;01.01.2024;True;
LU;STATEC;1928;M;2;45.15;01.01.2024;True;
LU;STATEC;1928;M;3;27.45;01.01.2024;True;
LU;STATEC;1928;M;4;19.35;01.01.2024;True;
LU;STATEC;1929;F;1;63.10;01.01.2024;True;
LU;STATEC;1929;F;2;48.80;01.01.2024;True;
LU;STATEC;1929;F;3;30.70;01.01.2024;True;
LU;STATEC;1929;F;4;22.00;01.01.2024;True;
LU;STATEC;1929;F;5;14.20;01.01.2024;True;
LU;STATEC;1929;F;6;81.10;01.01.2024;True;
LU;STATEC;1929;M;1;59.00;01.01.2024;True;
LU;STATEC;1929;M;2;45.30;01.01.2024;True;
LU;STATEC;1929;M;3;27.60;01.01.2024;True;
LU;STATEC;1929;M;4;19.50;01.01.2024;True;
LU;STATEC;1930;F;1;63.25;01.01.2024;True;
LU;STATEC;1930;F;2;48.95;01.01.2024;True;
LU;STATEC;1930;F;3;30.85;01.01.2024;True;
LU;STATEC;1930;F;4;22.15;01.01.2024;True;
LU;STATEC;1930;F;5;14.35;01.01.2024;True;
LU;STATEC;1930;F;6;81.25;01.01.2024;True;
LU;STATEC;1930;M;1;59.15;01.01.2024;True;
LU;STATEC;1930;M;2;45.45;01.01.2024;True;
LU;STATEC;1930;M;3;27.75;01.01.2024;True;
LU;STATEC;1930;M;4;19.65;01.01.2024;True;
LU;STATEC;1931;F;1;63.40;01.01.2024;True;
LU;STATEC;1931;F;2;49.10;01.01.2024;True;
LU;STATEC;1931;F;3;31.00;01.01.2024;True;
LU;STATEC;1931;F;4;22.30;01.01.2024;True;
LU;STATEC;1931;F;5;14.50;01.01.2024;True;
LU;STATEC;1931;F;6;81.40;01.01.2024;True;
LU;STATEC;1931;M;1;59.30;01.01.2024;True;
LU;STATEC;1931;M;2;45.60;01.01.2024;True;
LU;STATEC;1931;M;3;27.90;01.01.2024;True;
LU;STATEC;1931;M;4;19.80;01.01.2024;True;
LU;STATEC;1932;F;1;63.55;01.01.2024;True;
LU;STATEC;1932;F;2;49.25;01.01.2024;True;
LU;STATEC;1932;F;3;31.15;01.01.2024;True;
LU;STATEC;1932;F;4;22.45;01.01.2024;True;
LU;STATEC;1932;F;5;14.65;01.01.2024;True;
LU;STATEC;1932;F;6;81.55;01.01.2024;True;
LU;STATEC;1932;M;1;59.45;01.01.2024;True;
LU;STATEC;1932;M;2;45.75;01.01.2024;True;
LU;STATEC;1932;M;3;28. Mai;01.01.2024;True;
LU;STATEC;1932;M;4;19.95;01.01.2024;True;
LU;STATEC;1933;F;1;63.70;01.01.2024;True;
LU;STATEC;1933;F;2;49.40;01.01.2024;True;
LU;STATEC;1933;F;3;31.30;01.01.2024;True;
LU;STATEC;1933;F;4;22.60;01.01.2024;True;
LU;STATEC;1933;F;5;14.80;01.01.2024;True;
LU;STATEC;1933;F;6;81.70;01.01.2024;True;
LU;STATEC;1933;M;1;59.60;01.01.2024;True;
LU;STATEC;1933;M;2;45.90;01.01.2024;True;
LU;STATEC;1933;M;3;28.20;01.01.2024;True;
LU;STATEC;1933;M;4;20. Okt;01.01.2024;True;
LU;STATEC;1934;F;1;63.85;01.01.2024;True;
LU;STATEC;1934;F;2;49.55;01.01.2024;True;
LU;STATEC;1934;F;3;31.45;01.01.2024;True;
LU;STATEC;1934;F;4;22.75;01.01.2024;True;
LU;STATEC;1934;F;5;14.95;01.01.2024;True;
LU;STATEC;1934;F;6;81.85;01.01.2024;True;
LU;STATEC;1934;M;1;59.75;01.01.2024;True;
LU;STATEC;1934;M;2;46.05;01.01.2024;True;
LU;STATEC;1934;M;3;28.35;01.01.2024;True;
LU;STATEC;1934;M;4;20.25;01.01.2024;True;
LU;STATEC;1935;F;1;64.00;01.01.2024;True;
LU;STATEC;1935;F;2;49.70;01.01.2024;True;
LU;STATEC;1935;F;3;31.60;01.01.2024;True;
