PAYS;ANNEE REFERENCE;SOURCE OFFICIELLE;SEXE;AGE;ESPERANCE VIE RESTANTE;DATE PUBLICATION SOURCE;ACTIF;;;;;;;
Allemagne;2023;DESTATIS;Femme;6;77,29;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;7;76,29;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;8;75,30;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;9;74,30;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;10;73,31;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;11;72,31;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;12;71,32;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;13;70,32;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;14;69,33;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;15;68,34;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;16;67,35;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;17;66,36;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;18;65,37;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;19;64,38;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;20;63,40;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;21;62,41;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;22;61,42;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;23;60,43;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;24;59,44;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;25;58,45;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;26;57,46;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;27;56,48;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;28;55,49;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;29;54,50;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;30;53,51;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;31;52,53;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;32;51,54;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;33;50,56;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;34;49,58;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;35;48,60;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;36;47,62;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;37;46,64;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;38;45,67;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;39;44,70;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;40;43,73;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;41;42,76;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;42;41,79;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;43;40,82;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;44;39,86;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;45;38,90;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;46;37,95;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;47;36,99;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;48;36,04;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;49;35,10;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;50;34,15;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;51;33,22;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;52;32,28;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;53;31,35;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;54;30,43;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;55;29,51;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;56;28,60;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;57;27,70;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;58;26,80;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;59;25,91;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;60;25,03;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;61;24,15;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;62;23,29;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;63;22,44;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;64;21,59;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;65;20,76;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;66;19,93;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;67;19,12;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;68;18,31;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;69;17,51;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;70;16,72;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;71;15,94;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;72;15,17;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;73;14,41;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;74;13,66;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;75;12,93;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;76;12,21;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;77;11,50;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;78;10,80;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;79;10,12;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;80;9,46;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;81;8,81;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;82;8,18;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;83;7,57;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;84;6,98;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;85;6,42;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;86;5,90;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;87;5,41;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;88;4,95;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;89;4,54;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;90;4,15;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;91;3,81;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;92;3,49;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;93;3,21;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;94;2,96;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;95;2,73;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;96;2,53;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;97;2,34;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;98;2,18;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;99;2,03;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;100;1,91;21.08.2024;oui;;;;;;;
