STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;SPECIFICATION;Spécification;SEX;Sexe;AGE;Age;FREQ;Fréquence;TIME_PERIOD;Période;OBS_VALUE;Valeur;OBS_STATUS;Statut d'observation;DECIMALS;Décimales;NOTE_YEAR_2;Note année 2;NOTE_YEAR_1;Note année 1;NOTE_SPECIFICATION_2;Note spécification 2;NOTE_SPECIFICATION_1;Note spécification 1;NOTE_SEX_2;Note sexe 2;NOTE_SEX_1;Note sexe 1;NOTE_AGE_2;Age;NOTE_AGE_1;Age
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL007;6;A;Annuelle;2023;;79.4217495270115;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL028;27;A;Annuelle;2023;;58.5427283764736;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL040;39;A;Annuelle;2023;;46.714732354533;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL061;60;A;Annuelle;2023;;26.7022298920675;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL075;74;A;Annuelle;2023;;14.8345052892804;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL095;94;A;Annuelle;2023;;3.41407371175743;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL096;95 +;A;Annuelle;2023;;3.17744154057772;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL016;15;A;Annuelle;2023;;66.5509075819655;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL037;36;A;Annuelle;2023;;45.9611908281399;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL058;57;A;Annuelle;2023;;26.1444173632296;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL079;78;A;Annuelle;2023;;10.0232037902309;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
